轮次,qtype,二级类型,Prompt,打分prompt,参考答案,audio_filename
1,多步推理,串并行交叉推理（Chain & Tree）,6个人排成一列，他们之间的身高由矮到高分别是1、2、3、4、5、6。以下是一些关于他们身高的陈述：A: 我是最矮的。B: 我是最高的。C: 我和A、D相邻。D: 我和C、E相邻。F：我和E、B相邻。请问，D的身高是多少？,6个人排成一列，他们之间的身高由矮到高分别是1、2、3、4、5、6。以下是一些关于他们身高的陈述：A: 我是最矮的。B: 我是最高的。C: 我和A、D相邻。D: 我和C、E相邻。F：我和E、B相邻。请问，D的身高是多少？,3,reasoning_qa_86.mp3
1,常识推理,reversed curse,"如果数字1-5分别代表字母A-E，而字母A-E又分别代表数字5-1（即A=5, B=4, C=3, D=2, E=1），那么数字串32145转化为字母串后，再转化回数字串是什么？","如果数字1-5分别代表字母A-E，而字母A-E又分别代表数字5-1（即A=5, B=4, C=3, D=2, E=1），那么数字串32145转化为字母串后，再转化回数字串是什么？",34521,reasoning_qa_87.mp3
1,干扰性问题,加入干扰条件,一个房间里有三个人，分别叫Tom、Jerry和Alice。他们中有一个是老师，一个是医生，一个是律师。房间里还有一只猫和一只狗，猫喜欢追逐狗。已知：Tom不是医生；Alice不是律师；医生和律师是邻居。请问，谁是老师？,一个房间里有三个人，分别叫Tom、Jerry和Alice。他们中有一个是老师，一个是医生，一个是律师。房间里还有一只猫和一只狗，猫喜欢追逐狗。已知：Tom不是医生；Alice不是律师；医生和律师是邻居。请问，谁是老师？,题目条件不充分，无法确定谁是老师。,reasoning_qa_88.mp3
1,多步推理,串行推理（Chain）,在一家销售公司，小白、小黑、小红、小绿四位销售员在一个月内的销售额存在一定的差异。已知：小白的销售额超过了小黑。小红的销售额为10万元，又超过了小白的销售额7.9万元。小绿的销售额低于小黑。小黑的营业额比小绿高10%。 公司的抽成制度为每位销售员实际到手营业额的80%。请问，在这四位销售员中，谁的实际到手营业额最低？,在一家销售公司，小白、小黑、小红、小绿四位销售员在一个月内的销售额存在一定的差异。已知：小白的销售额超过了小黑。小红的销售额为10万元，又超过了小白的销售额7.9万元。小绿的销售额低于小黑。小黑的营业额比小绿高10%。 公司的抽成制度为每位销售员实际到手营业额的80%。请问，在这四位销售员中，谁的实际到手营业额最低？,小绿,reasoning_qa_89.mp3
1,多步推理,并行推理,一个岛上有两种人，一种人只说真话，另一种人只说谎。你遇到两个人，A 和 B。A 说：“B 是说谎者。” B 说：“我们都是说谎者。” 请问，A 和 B 分别是什么人？,一个岛上有两种人，一种人只说真话，另一种人只说谎。你遇到两个人，A 和 B。A 说：“B 是说谎者。” B 说：“我们都是说谎者。” 请问，A 和 B 分别是什么人？,A说真话B说谎,reasoning_qa_90.mp3
1,多步推理,串并行交叉推理（Chain & Tree）,某班级有5个学生，分别来自不同的省份。已知以下条件：A和B来自相同的省份；B和C不来自同一个省份；C和D来自相同的省份；D和E不来自同一个省份；E和A的省份不同。根据上述条件，推断A和C来自同一个省份吗？,某班级有5个学生，分别来自不同的省份。已知以下条件：A和B来自相同的省份；B和C不来自同一个省份；C和D来自相同的省份；D和E不来自同一个省份；E和A的省份不同。根据上述条件，推断A和C来自同一个省份吗？,AC不是同一省份,reasoning_qa_91.mp3
1,多步推理,串行推理（Chain）,在一个商店里，甲花了比乙多200元，乙花了比丙多300元。如果丙花了500元，那么甲花了多少钱？,在一个商店里，甲花了比乙多200元，乙花了比丙多300元。如果丙花了500元，那么甲花了多少钱？,1000,reasoning_qa_92.mp3
1,常识推理,空间推理,小明站在一个军训队列里，他前面有6个人，后面有3个人，左边有2个人，右边有4个人。请问这个队列总共有多少人？,小明站在一个军训队列里，他前面有6个人，后面有3个人，左边有2个人，右边有4个人。请问这个队列总共有多少人？,70人,reasoning_qa_93.mp3
1,常识推理,空间推理,一个军训队列中有30个人。小陈右边有3个人，左边有2个人，前面有4个人，那么他后面有几个人？,一个军训队列中有30个人。小陈右边有3个人，左边有2个人，前面有4个人，那么他后面有几个人？,0人,reasoning_qa_94.mp3
1,多步推理,串行推理（Chain）,在一个空的房间里，小红比小张先到，小张比小李先到，小李比小明先到，小明比小红先到。请逐步推理求解谁先到达房间，或者此道题的合理性？,在一个空的房间里，小红比小张先到，小张比小李先到，小李比小明先到，小明比小红先到。请逐步推理求解谁先到达房间，或者此道题的合理性？,不合理,reasoning_qa_95.mp3
1,常识推理,空间推理,在一个军训队列中，小陶前面有5个人，后面有6个人。在小陶的右边第二位的人，左边有3个人，右边有4个人。队列一共有多少人？,在一个军训队列中，小陶前面有5个人，后面有6个人。在小陶的右边第二位的人，左边有3个人，右边有4个人。队列一共有多少人？,96人,reasoning_qa_96.mp3
1,干扰性问题,加入干扰条件,在一场比赛中，有四个队伍参加：A队、B队、C队和D队。A队讨厌下雨天，B队很适应下雪天，C队来自北方，D队来自沙漠。已知：A队赢了B队；C队赢了D队；获胜的队伍将晋级。比赛当天的天气是阴天，这使得比赛场地湿滑。请问，哪两个队伍晋级了？,在一场比赛中，有四个队伍参加：A队、B队、C队和D队。A队讨厌下雨天，B队很适应下雪天，C队来自北方，D队来自沙漠。已知：A队赢了B队；C队赢了D队；获胜的队伍将晋级。比赛当天的天气是阴天，这使得比赛场地湿滑。请问，哪两个队伍晋级了？,A、C,reasoning_qa_97.mp3
1,干扰性问题,加入干扰条件,每个我认识的程序员都喜欢咖啡。我遇到一个喜欢咖啡的人。他早上在电脑上打开了github，我是否可以推断他是程序员？,每个我认识的程序员都喜欢咖啡。我遇到一个喜欢咖啡的人。他早上在电脑上打开了github，我是否可以推断他是程序员？,不可以推断出,reasoning_qa_98.mp3
1,多步推理,串并行交叉推理（Chain & Tree）,条件一：在一个大型公司中，只有在一个员工担任管理职务，并且他的团队中有至少加在一起所有人超过10个人，他才会有一个专门的办公室。条件二：李华在一个大型公司工作，他的团队有6个男下属，2个女下属。条件三：李华担任管理职务。李华是否有一个专门的办公室？,条件一：在一个大型公司中，只有在一个员工担任管理职务，并且他的团队中有至少加在一起所有人超过10个人，他才会有一个专门的办公室。条件二：李华在一个大型公司工作，他的团队有6个男下属，2个女下属。条件三：李华担任管理职务。李华是否有一个专门的办公室？,没有,reasoning_qa_99.mp3
1,数学情景题,求和问题,一个三角形，有两个角的度数相同，第三个角的度数是这两个角度数之和，请问每个角多少度？,一个三角形，有两个角的度数相同，第三个角的度数是这两个角度数之和，请问每个角多少度？,45°，45°，90°,reasoning_qa_100.mp3
1,常识推理,空间推理,从起点向南走5步，向西走2步，再向北走4步，最后向东走1步。为了回到原点，需要如何行走？,从起点向南走5步，向西走2步，再向北走4步，最后向东走1步。为了回到原点，需要如何行走？,"1.先向西走1步，向南走4步，向东走2步，最后向北走5步。
2.向北走1步，然后向东走1步",reasoning_qa_101.mp3
1,多步推理,串行推理（Chain）,甲、乙、丙三人购买了不同牌子的汽车，分别是A、B、C。已知：甲不是买的A牌汽车。乙不是买的B牌汽车。丙不是买的C牌汽车。问：每个人分别购买了什么品牌的汽车？,甲、乙、丙三人购买了不同牌子的汽车，分别是A、B、C。已知：甲不是买的A牌汽车。乙不是买的B牌汽车。丙不是买的C牌汽车。问：每个人分别购买了什么品牌的汽车？,如果甲B，乙C丙A；如果甲C，乙A丙B,reasoning_qa_102.mp3
1,反事实,因果反置,为什么高原反应都出现在高海拔地区？,为什么高原反应都出现在高海拔地区？,人体在海拔较高的地方，由于氧气含量相对较低，身体需要适应这种低氧环境，才会出现高原反应,reasoning_qa_103.mp3
1,反事实,一个人做了一件不存在的事,莎士比亚常常坐飞机出差吗？,莎士比亚常常坐飞机出差吗？,不能，时代问题,reasoning_qa_104.mp3
1,常识推理,时差换算,如果我在东京下午3点出发前往旧金山，航程耗时9小时，请问我在旧金山当地的到达时间是几点？,如果我在东京下午3点出发前往旧金山，航程耗时9小时，请问我在旧金山当地的到达时间是几点？,正确答案是旧金山当日早上7点。如果回答不是当日，是前一天或次日，都是错误的。,reasoning_qa_105.mp3
1,反事实,关联两个不相关的人,莎士比亚怎么评论爱因斯坦的相对论？,莎士比亚怎么评论爱因斯坦的相对论？,不能评论,reasoning_qa_106.mp3
1,反事实,关联两个不相关的人,达芬奇与梵高合作了哪一幅画？,达芬奇与梵高合作了哪一幅画？,不能合作，不在同一时代,reasoning_qa_107.mp3
1,反事实,关联两个不相关的人,为什么拿破仑要与诸葛亮展开辩论？,为什么拿破仑要与诸葛亮展开辩论？,不能进行辩论，因为这两个人不属于同一年代，不属于同一国家。,reasoning_qa_108.mp3
1,反事实,同一个人,孔文举为什么要给孔融让梨？,孔文举为什么要给孔融让梨？,孔文举是孔融的字,reasoning_qa_109.mp3
1,常识推理,其他常识排序,将以下物品按体积大小排序：足球、冰箱、耳钉、房车、原子。,将以下物品按体积大小排序：足球、冰箱、耳钉、房车、原子。,房车 > 冰箱 >足球 > 耳钉 >原子,reasoning_qa_110.mp3
1,反事实,一个人做了一件不存在的事,唐太宗李世民喜欢坐汽车去哪？,唐太宗李世民喜欢坐汽车去哪？,李世民生活在公元6世纪的中国，那时候还没有汽车。,reasoning_qa_111.mp3
1,反事实,不符合科学常识的事情,成年青蛙的尾巴有什么功能？,成年青蛙的尾巴有什么功能？,青蛙成年是没有尾巴的。,reasoning_qa_112.mp3
1,常识推理,语义推敲,老板说：“你这次的工作表现不算差”。这句话是在夸奖还是在批评？,老板说：“你这次的工作表现不算差”。这句话是在夸奖还是在批评？,不明确,reasoning_qa_113.mp3
1,常识推理,动作排序,对以下动作排序：记录结果、准备实验材料、分析数据、进行实验、设计实验。,对以下动作排序：记录结果、准备实验材料、分析数据、进行实验、设计实验。,设计实验 > 准备实验材料 > 进行实验 > 记录结果 > 分析数据,reasoning_qa_114.mp3
1,常识推理,其他常识排序,将以下容器按容量从大到小排序：游泳池、水桶、马克杯。,将以下容器按容量从大到小排序：游泳池、水桶、马克杯。,游泳池 > 水桶 > 马克杯,reasoning_qa_115.mp3
1,常识推理,周期推理,现在是4月30日下午2点，125小时后是几月几号，几点钟？,现在是4月30日下午2点，125小时后是几月几号，几点钟？,5月5日下午7点,reasoning_qa_116.mp3
1,常识推理,其他常识排序,将以下作家按出生时间从早到晚排序：莎士比亚、但丁、卡夫卡、简·奥斯汀。,将以下作家按出生时间从早到晚排序：莎士比亚、但丁、卡夫卡、简·奥斯汀。,"1. 但丁 (1265-1321)
2. 莎士比亚 (1564-1616)
3. 简·奥斯汀 (1775-1817)
4. 卡夫卡 (1883-1924)",reasoning_qa_117.mp3
1,数学情景题,求和问题,如果12个苹果和8个橘子平均分配给某些孩子（不止一个），每个孩子得到的苹果和橘子的总数相等。至少需要多少孩子？,如果12个苹果和8个橘子平均分配给某些孩子（不止一个），每个孩子得到的苹果和橘子的总数相等。至少需要多少孩子？,至少需要2个孩子,reasoning_qa_118.mp3
1,数学情景题,跑步问题,"以下是有关逻辑与推理的单项选择题，请选出下列最符合的选项。只能用字母A、B、C、D作答，不要给出多余的内容。
在一场赛跑比赛中，你刚刚超过了第二名选手，那么你现在是第几名？
A. 第一名
B. 第二名
C. 第三名
D. 无法确定
答案：","以下是有关逻辑与推理的单项选择题，请选出下列最符合的选项。只能用字母A、B、C、D作答，不要给出多余的内容。
在一场赛跑比赛中，你刚刚超过了第二名选手，那么你现在是第几名？
A. 第一名
B. 第二名
C. 第三名
D. 无法确定
答案：",B,reasoning_qa_119.mp3
1,命题假设,演绎推理,"如果有人在1985年以后大学毕业，他就一定读过《邓小平理论》。刘杨读过《邓小平理论》，所以（） 
A、刘杨是1985年以后的大学毕业生
B、刘杨是共产党员
C、刘杨可能是1985年以后的大学毕业生
D、刘杨喜欢这本书","如果有人在1985年以后大学毕业，他就一定读过《邓小平理论》。刘杨读过《邓小平理论》，所以（） 
A、刘杨是1985年以后的大学毕业生
B、刘杨是共产党员
C、刘杨可能是1985年以后的大学毕业生
D、刘杨喜欢这本书",C,reasoning_qa_120.mp3
1,命题假设,三段式,"下面的表述，大小前提能推出结论吗?
“某学院同学都是共青团员”；
“某班同学都是共青团员;”
“所以，某班同学都是某学院的学生”
A、能
B、不能
C、无法确定","下面的表述，大小前提能推出结论吗?
“某学院同学都是共青团员”；
“某班同学都是共青团员;”
“所以，某班同学都是某学院的学生”
A、能
B、不能
C、无法确定",B,reasoning_qa_121.mp3
1,常识推理,时差换算,现在是伦敦时间5月1日上午10点，那么东京时间150小时前是几月几号，几点钟？,现在是伦敦时间5月1日上午10点，那么东京时间150小时前是几月几号，几点钟？,4月25日13点,reasoning_qa_122.mp3
1,命题假设,三段式,"请尽快决定，这个辩论是否合乎逻辑，结论可以从它的命题中得出吗?
1）所有玫瑰都是花。
2）有些花很快就凋谢
3）所以有些玫瑰很快就凋谢

A、合乎逻辑
B、不合乎逻辑","请尽快决定，这个辩论是否合乎逻辑，结论可以从它的命题中得出吗?
1）所有玫瑰都是花。
2）有些花很快就凋谢
3）所以有些玫瑰很快就凋谢

A、合乎逻辑
B、不合乎逻辑",B,reasoning_qa_123.mp3
1,命题假设,逆否命题,"凡有关国家机密的案件都不是公开审理的案件。据此，我们可以推出:
A、不公开审理的案件都是有关国家机密的案件
B、公开审理的案件都不是有关国家机密的案件
C、有关国家机密的某些案件可以公开审理
D、不涉及国家机密的有些案件可以不公开审理","凡有关国家机密的案件都不是公开审理的案件。据此，我们可以推出:
A、不公开审理的案件都是有关国家机密的案件
B、公开审理的案件都不是有关国家机密的案件
C、有关国家机密的某些案件可以公开审理
D、不涉及国家机密的有些案件可以不公开审理",B,reasoning_qa_124.mp3
1,关系判断,简单类比,"书籍：知识：阅读，请选出逻辑相似的一项?
A. 羽毛球：运动：打球
B. 电影：娱乐：观看
C. 音乐：欣赏：听歌
D. 美食：口感：烹饪\n","书籍：知识：阅读，请选出逻辑相似的一项?
A. 羽毛球：运动：打球
B. 电影：娱乐：观看
C. 音乐：欣赏：听歌
D. 美食：口感：烹饪\n","正确答案是B。
分析过程：要找出与“书籍：知识：阅读”逻辑相似的一项，我们需要理解这个比较中的逻辑关系。这里的逻辑是：第一项（书籍）是获取第二项（知识）的一种方式，而第三项（阅读）是进行这种活动的具体行为，且可以通顺组成句子，比如阅读书籍。

根据这个逻辑，我们来分析每个选项：

A. 羽毛球：运动：打球
   - 羽毛球是一种运动，但打球羽毛球，这不通顺。因此这个选项不合理。

B. 电影：娱乐：观看
   - 电影是一种娱乐，观看是享受这种娱乐的行为。这同样符合逻辑关系。

C. 音乐：欣赏：听歌
   - 音乐是一种可以欣赏的艺术形式，但听歌音乐，这不通顺。因此这个选项不合理。

D. 美食：口感：烹饪
   - 美食是一种可以体验口感的事物，但烹饪是制作美食的行为，不是体验口感的行为。这不符合逻辑关系。",reasoning_qa_125.mp3
1,关系判断,简单类比,"父母：孩子：照顾，请选出逻辑相似的一项?
A. 雇主：员工：付薪
B. 师傅：徒弟：教导
C. 农民：土地：耕种
D. 警察：犯罪者：逮捕","父母：孩子：照顾，请选出逻辑相似的一项?
A. 雇主：员工：付薪
B. 师傅：徒弟：教导
C. 农民：土地：耕种
D. 警察：犯罪者：逮捕",B,reasoning_qa_126.mp3
1,常识推理,reversed curse,已知黄色的球比蓝色的球重，那么蓝色的球比黄色的球轻，这个说法正确吗？,已知黄色的球比蓝色的球重，那么蓝色的球比黄色的球轻，这个说法正确吗？,正确,reasoning_qa_127.mp3
1,关系判断,复杂类比,"小华认为所有的哺乳动物都有毛发，然而，小丽指出鲸鱼虽然属于哺乳动物，但并没有毛发。下面哪一项推理的模式与小丽的推理模式最为相似？
A．小杨认为所有的鸟类都有羽毛，但小陈指出企鹅虽然属于鸟类，但羽毛并不丰满
B．小李认为所有的植物都需要阳光，但小张指出蘑菇虽然需要生长，但不需要阳光
C．小王认为所有的昆虫都有翅膀，但小赵指出蚂蚁虽然属于昆虫，但没有翅膀
D．小马认为所有的爬行动物都是冷血的，但小刘指出鳄鱼虽然属于爬行动物，却是温血的","小华认为所有的哺乳动物都有毛发，然而，小丽指出鲸鱼虽然属于哺乳动物，但并没有毛发。下面哪一项推理的模式与小丽的推理模式最为相似？
A．小杨认为所有的鸟类都有羽毛，但小陈指出企鹅虽然属于鸟类，但羽毛并不丰满
B．小李认为所有的植物都需要阳光，但小张指出蘑菇虽然需要生长，但不需要阳光
C．小王认为所有的昆虫都有翅膀，但小赵指出蚂蚁虽然属于昆虫，但没有翅膀
D．小马认为所有的爬行动物都是冷血的，但小刘指出鳄鱼虽然属于爬行动物，却是温血的",C,reasoning_qa_128.mp3
1,关系判断,复杂类比,"小林认为所有的鸽子都会飞，然而他的朋友反驳说有些鸽子由于病痛并不能飞。下面哪一项推理的模式与小林朋友的推理模式最为相似？
A. 小峰认为所有的汽车都是燃油驱动的，小峰的朋友反驳说他见过电动汽车。
B. 小杨认为所有的手机都是触摸屏的，小杨的朋友反驳说他见过按键手机。
C. 小楠认为所有的电视都是彩色的，小楠的朋友反驳说外公家的就是黑白电视。
D. 小芳的朋友说所有的母鸡都会下蛋，可是小芳反驳说有些老母鸡已经不会下蛋了。","小林认为所有的鸽子都会飞，然而他的朋友反驳说有些鸽子由于病痛并不能飞。下面哪一项推理的模式与小林朋友的推理模式最为相似？
A. 小峰认为所有的汽车都是燃油驱动的，小峰的朋友反驳说他见过电动汽车。
B. 小杨认为所有的手机都是触摸屏的，小杨的朋友反驳说他见过按键手机。
C. 小楠认为所有的电视都是彩色的，小楠的朋友反驳说外公家的就是黑白电视。
D. 小芳的朋友说所有的母鸡都会下蛋，可是小芳反驳说有些老母鸡已经不会下蛋了。",D,reasoning_qa_129.mp3
1,关系判断,复杂类比,"小王认为所有的鱼类都有鳞片，然而，小李指出鳗鱼虽然属于鱼类，但没有鳞片。下面哪一项推理的模式与小李的推理模式最为相似？
A．小张认为所有的蔬菜都富含维生素，但小赵指出土豆虽然属于蔬菜，但维生素含量并不高
B．小陈认为所有的昆虫都有六条腿，但小吴指出蜘蛛虽然属于昆虫，却有八条腿
C．小刘认为所有的鸟类都会飞，但小郑指出企鹅虽然属于鸟类，但不能飞
D．小马认为所有的爬行动物都是冷血的，但小黄指出鳄鱼虽然属于爬行动物，却是温血的","小王认为所有的鱼类都有鳞片，然而，小李指出鳗鱼虽然属于鱼类，但没有鳞片。下面哪一项推理的模式与小李的推理模式最为相似？
A．小张认为所有的蔬菜都富含维生素，但小赵指出土豆虽然属于蔬菜，但维生素含量并不高
B．小陈认为所有的昆虫都有六条腿，但小吴指出蜘蛛虽然属于昆虫，却有八条腿
C．小刘认为所有的鸟类都会飞，但小郑指出企鹅虽然属于鸟类，但不能飞
D．小马认为所有的爬行动物都是冷血的，但小黄指出鳄鱼虽然属于爬行动物，却是温血的",C,reasoning_qa_130.mp3
1,关系判断,复杂类比,"小红认为所有的哺乳动物都是胎生的，然而，小刚指出鸭嘴兽虽然是哺乳动物，但并非胎生。下面哪一项推理的模式与小刚的推理模式最为相似？
A．小张认为所有的鸟类都会飞，但小李指出企鹅虽然属于鸟类，但不能飞
B．小王认为所有的昆虫都有六条腿，但小赵指出蜘蛛虽然属于昆虫，却有八条腿
C．小陈认为所有的植物都需要阳光，但小吴指出蘑菇虽然需要生长，但不需要阳光
D．小刘认为所有的鱼类都生活在水中，但小郑指出鲸鱼虽然生活在水中，但并非鱼类","小红认为所有的哺乳动物都是胎生的，然而，小刚指出鸭嘴兽虽然是哺乳动物，但并非胎生。下面哪一项推理的模式与小刚的推理模式最为相似？
A．小张认为所有的鸟类都会飞，但小李指出企鹅虽然属于鸟类，但不能飞
B．小王认为所有的昆虫都有六条腿，但小赵指出蜘蛛虽然属于昆虫，却有八条腿
C．小陈认为所有的植物都需要阳光，但小吴指出蘑菇虽然需要生长，但不需要阳光
D．小刘认为所有的鱼类都生活在水中，但小郑指出鲸鱼虽然生活在水中，但并非鱼类",A,reasoning_qa_131.mp3
1,关系判断,复杂类比,"小张对他的朋友说，所有的狗都是善于游泳的，但是他的朋友反驳他，因为有些犬种并不擅长游泳，所以他的言论不正确。下面哪一项推理的模式与小张朋友的推理模式最为相似？
A. 小明认为所有的羊都会跳舞，因为他们都属于哺乳动物，然后很多哺乳动物会跳舞。
B. 小红认为所有的猫都会爬树，因为她见过一只猫爬树。
C. 小李认为所有的马都会飞，而他的朋友反驳他，因为有些马并不会飞。
D. 小华认为所有的鱼都会潜水，因为他们都生活在水里。","小张对他的朋友说，所有的狗都是善于游泳的，但是他的朋友反驳他，因为有些犬种并不擅长游泳，所以他的言论不正确。下面哪一项推理的模式与小张朋友的推理模式最为相似？
A. 小明认为所有的羊都会跳舞，因为他们都属于哺乳动物，然后很多哺乳动物会跳舞。
B. 小红认为所有的猫都会爬树，因为她见过一只猫爬树。
C. 小李认为所有的马都会飞，而他的朋友反驳他，因为有些马并不会飞。
D. 小华认为所有的鱼都会潜水，因为他们都生活在水里。",C,reasoning_qa_132.mp3
1,常识推理,其他常识排序,将以下职业按平均年收入从高到低排序：保洁阿姨、硅谷软件工程师、小学教师。,将以下职业按平均年收入从高到低排序：保洁阿姨、硅谷软件工程师、小学教师。,硅谷软件工程师、小学教师、保洁阿姨,reasoning_qa_133.mp3
1,常识推理,reversed curse,"如果“×”代表除法，""÷""代表乘法，那么10×5=？","如果“×”代表除法，""÷""代表乘法，那么10×5=？",2,reasoning_qa_134.mp3
1,常识推理,reversed curse,假设9-4=13，在这个逻辑下，“-”代表什么运算？,假设9-4=13，在这个逻辑下，“-”代表什么运算？,加法,reasoning_qa_135.mp3
1,常识推理,语义推敲,一个孩子说：“我总是按时完成作业”，但他的老师说孩子经常交迟了作业。这是否意味着孩子从未按时完成过作业？,一个孩子说：“我总是按时完成作业”，但他的老师说孩子经常交迟了作业。这是否意味着孩子从未按时完成过作业？,并不意味,reasoning_qa_136.mp3
1,多步推理,推理链条削弱,"小红经常听到一句话，只有经历过失恋的人才能真正明白爱情。以下哪项如果正确，最能削弱这个论证？
A．只有经历过失恋的人才能明白爱情
B．一些未经历过失恋的人也能真正明白爱情
C．经历过失恋的人一定可以明白爱情
D．一些经历过失恋的人反而更加困惑于爱情","小红经常听到一句话，只有经历过失恋的人才能真正明白爱情。以下哪项如果正确，最能削弱这个论证？
A．只有经历过失恋的人才能明白爱情
B．一些未经历过失恋的人也能真正明白爱情
C．经历过失恋的人一定可以明白爱情
D．一些经历过失恋的人反而更加困惑于爱情",B,reasoning_qa_137.mp3
1,多步推理,推理链条削弱,"广告宣称只有经常吃多种维生素的人才能保持良好身体状况。以下哪项如果正确，最能支持这个看法？
A．只有身体状况良好的人才经常吃维生素
B．一些不经常吃维生素的人身体状况也良好
C．所有经常吃维生素的人身体状况都良好
D．有些经常吃维生素的人身体状况并不良好","广告宣称只有经常吃多种维生素的人才能保持良好身体状况。以下哪项如果正确，最能支持这个看法？
A．只有身体状况良好的人才经常吃维生素
B．一些不经常吃维生素的人身体状况也良好
C．所有经常吃维生素的人身体状况都良好
D．有些经常吃维生素的人身体状况并不良好",C,reasoning_qa_138.mp3
1,多步推理,推理链条削弱,"冬季，某市公交系统在许多线路上增加了临时公交车，以作为这些线路公交运输的补充。但是在一段时期内，原线路乘客拥挤的现象未得到缓解。
在下列陈述中，无助于解释上述现象的是 ()。

A、这些路线的乘客中，在冬季突然增加了大量外地民工
B、一段时期内人们对新增临时公交车的停车站、运行时间等还不清楚
C、临时公交车在每日运行高峰期中增加的数量有限
D、临时公交车的司机售票员都与公司签订了承包合同","冬季，某市公交系统在许多线路上增加了临时公交车，以作为这些线路公交运输的补充。但是在一段时期内，原线路乘客拥挤的现象未得到缓解。
在下列陈述中，无助于解释上述现象的是 ()。

A、这些路线的乘客中，在冬季突然增加了大量外地民工
B、一段时期内人们对新增临时公交车的停车站、运行时间等还不清楚
C、临时公交车在每日运行高峰期中增加的数量有限
D、临时公交车的司机售票员都与公司签订了承包合同",D,reasoning_qa_139.mp3
1,多步推理,推理链条削弱,"在教育学研究中，人们试著证明考试和知识理解之间的关系，普遍认为只有通过考试的人才算是真正理解知识。以下哪项如果正确，最能削弱这个看法？
A．只有那些真正理解知识的人才能通过考试
B．一些未通过考试的人也能真正理解知识
C．所有通过考试的人都真正理解了知识
D．有些通过考试的人并未真正理解知识","在教育学研究中，人们试著证明考试和知识理解之间的关系，普遍认为只有通过考试的人才算是真正理解知识。以下哪项如果正确，最能削弱这个看法？
A．只有那些真正理解知识的人才能通过考试
B．一些未通过考试的人也能真正理解知识
C．所有通过考试的人都真正理解了知识
D．有些通过考试的人并未真正理解知识",B,reasoning_qa_140.mp3
1,多步推理,推理链条削弱,"科学研究发现，每天坚持做运动的人平均寿命比不运动的人多4岁，得出结论为坚持运动为才能健康长寿。以下哪项如果正确会削弱此论证？
A．有些长寿的人并没有每天做运动
B．只有长寿的人才每天坚持做运动
C．有些做运动的人并不长寿
D．每天坚持做运动的人确实健康长寿","科学研究发现，每天坚持做运动的人平均寿命比不运动的人多4岁，得出结论为坚持运动为才能健康长寿。以下哪项如果正确会削弱此论证？
A．有些长寿的人并没有每天做运动
B．只有长寿的人才每天坚持做运动
C．有些做运动的人并不长寿
D．每天坚持做运动的人确实健康长寿",C,reasoning_qa_141.mp3
1,多步推理,推理链条削弱,"大家普遍认为想要成为优秀的作家，需要日以继夜的练习写作。以下哪项如果正确会削弱此论点？
A．只有优秀的作家才经常练习写作
B．一些从未练习写作的人也成为了优秀作家
C．所有经常练习写作的人都成为了优秀作家
D．有些经常练习写作的人并未成为优秀作家","大家普遍认为想要成为优秀的作家，需要日以继夜的练习写作。以下哪项如果正确会削弱此论点？
A．只有优秀的作家才经常练习写作
B．一些从未练习写作的人也成为了优秀作家
C．所有经常练习写作的人都成为了优秀作家
D．有些经常练习写作的人并未成为优秀作家",B,reasoning_qa_142.mp3
1,多步推理,串并行交叉推理（Chain & Tree）,"甲、乙、丙三个小朋友赛跑。得第一名的不是甲，得第二名的不是丙，乙看见甲和丙都在自己的前面到达了终点。
则，甲得了第()名，乙得了第()名，丙得了第()名。","甲、乙、丙三个小朋友赛跑。得第一名的不是甲，得第二名的不是丙，乙看见甲和丙都在自己的前面到达了终点。
则，甲得了第()名，乙得了第()名，丙得了第()名。",甲2乙3丙1,reasoning_qa_143.mp3
1,多步推理,串并行交叉推理（Chain & Tree）,"条件一：只有在一个人全面接种了新冠病毒疫苗，并且在过去的14天内没有接触过已知的新冠病毒感染者，他才能进入公司的办公室。
条件二：王五在过去的14天内没有接触过已知的新冠病毒感染者，但他只接种了新冠病毒疫苗的第一剂。
条件三：公司的年度晚会被安排在了公司的205号会议室。
条件四：新冠病毒疫苗一共有3剂要注射
条件五：市中心的大酒店对任何顾客都没有进入的限制，哪怕这个顾客有传染病
问题：王五能否参加公司的年度晚会？","条件一：只有在一个人全面接种了新冠病毒疫苗，并且在过去的14天内没有接触过已知的新冠病毒感染者，他才能进入公司的办公室。
条件二：王五在过去的14天内没有接触过已知的新冠病毒感染者，但他只接种了新冠病毒疫苗的第一剂。
条件三：公司的年度晚会被安排在了公司的205号会议室。
条件四：新冠病毒疫苗一共有3剂要注射
条件五：市中心的大酒店对任何顾客都没有进入的限制，哪怕这个顾客有传染病
问题：王五能否参加公司的年度晚会？",不能,reasoning_qa_144.mp3
1,多步推理,并行推理,有三个人，分别来自美国、英国、法国。他们分别喜欢喝咖啡、茶、红酒。已知：美国人喜欢喝茶，英国人不喜欢喝咖啡。请问，法国人喜欢喝什么？,有三个人，分别来自美国、英国、法国。他们分别喜欢喝咖啡、茶、红酒。已知：美国人喜欢喝茶，英国人不喜欢喝咖啡。请问，法国人喜欢喝什么？,法国人喜欢咖啡。,reasoning_qa_145.mp3
1,常识推理,周期推理,今天是2月28日晚上9点，今年是闰年。请问93小时后是几月几号？,今天是2月28日晚上9点，今年是闰年。请问93小时后是几月几号？,3月3日下午6点。,reasoning_qa_146.mp3
